"trend","url","promoted_content","query","tweet_volume","place","woeid","as_of","created_at"
"#ThankYouNiall","http://twitter.com/search?q=%23ThankYouNiall",,"%23ThankYouNiall",68322,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"#DiaMundialDelPerro","http://twitter.com/search?q=%23DiaMundialDelPerro",,"%23DiaMundialDelPerro",46904,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"EL PELO","http://twitter.com/search?q=%22EL+PELO%22",,"%22EL+PELO%22",39248,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Dipy","http://twitter.com/search?q=Dipy",,"Dipy",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"#CorteYConfeccion","http://twitter.com/search?q=%23CorteYConfeccion",,"%23CorteYConfeccion",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"BUY RARE BY SELENA","http://twitter.com/search?q=%22BUY+RARE+BY+SELENA%22",,"%22BUY+RARE+BY+SELENA%22",59986,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Echarri","http://twitter.com/search?q=Echarri",,"Echarri",11663,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"#HotSaleGPS","http://twitter.com/search?q=%23HotSaleGPS",,"%23HotSaleGPS",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Muriel","http://twitter.com/search?q=Muriel",,"Muriel",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Mago","http://twitter.com/search?q=Mago",,"Mago",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"#MILEYISCOMING","http://twitter.com/search?q=%23MILEYISCOMING",,"%23MILEYISCOMING",71863,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Watford","http://twitter.com/search?q=Watford",,"Watford",29396,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Prat Gay","http://twitter.com/search?q=%22Prat+Gay%22",,"%22Prat+Gay%22",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Aranguren","http://twitter.com/search?q=Aranguren",,"Aranguren",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Mulan","http://twitter.com/search?q=Mulan",,"Mulan",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Luis Fuxan","http://twitter.com/search?q=%22Luis+Fuxan%22",,"%22Luis+Fuxan%22",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"EL PELITO","http://twitter.com/search?q=%22EL+PELITO%22",,"%22EL+PELITO%22",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Sterling","http://twitter.com/search?q=Sterling",,"Sterling",29825,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Polo Obrero","http://twitter.com/search?q=%22Polo+Obrero%22",,"%22Polo+Obrero%22",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"amparito","http://twitter.com/search?q=amparito",,"amparito",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Nancy","http://twitter.com/search?q=Nancy",,"Nancy",73790,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Guzmán","http://twitter.com/search?q=Guzm%C3%A1n",,"Guzm%C3%A1n",28169,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Andy Kusnetzoff","http://twitter.com/search?q=%22Andy+Kusnetzoff%22",,"%22Andy+Kusnetzoff%22",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"woody","http://twitter.com/search?q=woody",,"woody",47621,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Viudez","http://twitter.com/search?q=Viudez",,"Viudez",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"judy","http://twitter.com/search?q=judy",,"judy",132482,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Néstor Grindetti","http://twitter.com/search?q=%22N%C3%A9stor+Grindetti%22",,"%22N%C3%A9stor+Grindetti%22",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Talión","http://twitter.com/search?q=Tali%C3%B3n",,"Tali%C3%B3n",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Caracas","http://twitter.com/search?q=Caracas",,"Caracas",42692,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Edesur","http://twitter.com/search?q=Edesur",,"Edesur",17725,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Billie","http://twitter.com/search?q=Billie",,"Billie",43163,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Tabaré","http://twitter.com/search?q=Tabar%C3%A9",,"Tabar%C3%A9",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Olympique de Marsella","http://twitter.com/search?q=%22Olympique+de+Marsella%22",,"%22Olympique+de+Marsella%22",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Berni","http://twitter.com/search?q=Berni",,"Berni",10743,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Pato","http://twitter.com/search?q=Pato",,"Pato",21513,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"animales sueltos","http://twitter.com/search?q=%22animales+sueltos%22",,"%22animales+sueltos%22",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Jubilado","http://twitter.com/search?q=Jubilado",,"Jubilado",113158,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Emoción","http://twitter.com/search?q=Emoci%C3%B3n",,"Emoci%C3%B3n",20907,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Logrado","http://twitter.com/search?q=Logrado",,"Logrado",23524,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"Labruna","http://twitter.com/search?q=Labruna",,"Labruna",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"#ReservaTuTren","http://twitter.com/search?q=%23ReservaTuTren",,"%23ReservaTuTren",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"#Intrusos","http://twitter.com/search?q=%23Intrusos",,"%23Intrusos",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"#cumbiasquelevantan","http://twitter.com/search?q=%23cumbiasquelevantan",,"%23cumbiasquelevantan",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"#BuenMartes","http://twitter.com/search?q=%23BuenMartes",,"%23BuenMartes",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"#AtinySelcaDay","http://twitter.com/search?q=%23AtinySelcaDay",,"%23AtinySelcaDay",217130,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"#HayQueVer","http://twitter.com/search?q=%23HayQueVer",,"%23HayQueVer",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"#chorro","http://twitter.com/search?q=%23chorro",,"%23chorro",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"#MalditaSuerte","http://twitter.com/search?q=%23MalditaSuerte",,"%23MalditaSuerte",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"#Navarro2023","http://twitter.com/search?q=%23Navarro2023",,"%23Navarro2023",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
"#FantinoALaTarde","http://twitter.com/search?q=%23FantinoALaTarde",,"%23FantinoALaTarde",,"Argentina",23424747,2020-07-21 19:30:51,2020-07-21 19:28:40
